id,sku,product_name,price,original_price,discount,discount_rate,rating_average,review_count,quantity_sold_value,inventory_status,inventory_type,brand_id,brand_name,brand_slug,seller_id,seller_name,seller_store_id,category_id,category_name,snapshot_date,has_sold,quantity_sold_value_filled,possibly_delisted,reference_price,discount_rate_calc,discount_rate_diff,discount_rate_mismatch,price_bucket,discount_bucket,subcategory_proxy,crawled_review_count
172175718,2480514150921,Bình thủy điện Panasonic 4.0 lít NC-EG4000CSY - Hàng chính hãng,3499000,3499000,0,0,5.0,1,7.0,available,backorder,18804,Panasonic,panasonic,162514.0,Long Hưng Official Store,149585.0,1882.0,Điện Gia Dụng,2026-08-15,True,7.0,False,3499000,0.0,0.0,False,>1.5tr,0%,Bình giữ nhiệt,1
172319018,2395068359224,Bếp từ đôi CATA – M899I MALAYSIA Hàng Chính Hãng,27750000,27750000,0,0,0.0,0,,available,backorder,833169,Kanzo,kanzo,174366.0,Thiết bị nhà bếp KZ,161402.0,1882.0,Điện Gia Dụng,2026-08-15,False,0.0,False,27750000,0.0,0.0,False,>1.5tr,0%,Bếp điện/từ,0
172680887,3789601496007,Lò nướng bánh Unox XFT133 - Hàng nhập khẩu,31170000,31170000,0,0,0.0,0,1.0,available,backorder,5689403,UNOX,unox,19606.0,Siêu thị máy pha cà phê,19101.0,1882.0,Điện Gia Dụng,2026-08-15,True,1.0,False,31170000,0.0,0.0,False,>1.5tr,0%,Lò vi sóng/nướng,0
173124885,4442807546763,Lò nướng bánh Unox XEFT-04HS-ETDP - Hàng nhập khẩu,57660000,57660000,0,0,0.0,0,,available,backorder,5689403,UNOX,unox,19606.0,Siêu thị máy pha cà phê,19101.0,1882.0,Điện Gia Dụng,2026-08-15,False,0.0,False,57660000,0.0,0.0,False,>1.5tr,0%,Lò vi sóng/nướng,0
173425151,8997268129487,"Nồi Nấu Chậm 0,8L Bear SUBE001 Đa Năng Nấu Cháo, Chưng Yến Bản Quốc Tế - Hàng Chính Hãng",492000,790000,298000,38,5.0,23,274.0,available,instock,198523,Bear,bear,1.0,Tiki Trading,40395.0,1882.0,Điện Gia Dụng,2026-08-15,True,274.0,False,790000,37.721518987341774,0.2784810126582258,False,300-700k,30-50%,Nồi/Chảo (khác),50
173429183,4646553333738,"Nồi Nấu Chậm 2,5L Bear SUBE003 Đa Năng Hầm Cháo, Chưng Yến Bản Quốc Tế - Hàng Chính Hãng",1254400,1280000,25600,2,0.0,0,,available,backorder,198523,Bear,bear,173338.0,SMARTWATCH,160374.0,1882.0,Điện Gia Dụng,2026-08-15,False,0.0,False,1280000,2.0,0.0,False,700k-1.5tr,0-10%,Nồi/Chảo (khác),0
173550857,2424669364588,"Máy ép chậm Elmich JEE - 1855OL, công suất 240W, ống tiếp nguyên liệu rộng 83mm, độ ồn cực thấp 55 dB - Hàng chính hãng (New)",1909000,2441000,532000,22,4.6,127,653.0,available,instock,31627,Elmich,elmich,1.0,Tiki Trading,40395.0,67133.0,Máy ép chậm,2026-08-15,True,653.0,False,2441000,21.79434657927079,0.20565342072920956,False,>1.5tr,20-30%,Máy ép,127
174186211,6009171979858,Ấm Siêu Tốc Inox 2 Lớp DAMAS DK-6018B (1.8L) - Hàng Chính Hãng,460000,800000,340000,43,4.7,112,1023.0,available,backorder,4234729,Damas,damas,44857.0,DAMAS Official Store,43356.0,1882.0,Điện Gia Dụng,2026-08-15,True,1023.0,False,800000,42.5,0.5,False,300-700k,30-50%,Ấm đun nước/Bình siêu tốc,112
175413084,5415500868701,"Bình Thủy Điện, Bình Thủy Giữ Ấm Đun Nóng Thông Minh BEAR KE-B30V1 Khử Clo Dung Tích 3L, Công Suất 1350W - Hàng Chính Hãng",1460000,1460000,0,0,0.0,0,2.0,available,backorder,198523,Bear,bear,20256.0,Telovietnam,19746.0,1882.0,Điện Gia Dụng,2026-08-15,True,2.0,False,1460000,0.0,0.0,False,700k-1.5tr,0%,Ấm đun nước/Bình siêu tốc,0
175683649,6368760319505,Máy pha cà phê LELIT ANITA COMBI PL042EM - Hàng chính hãng,19800000,19800000,0,0,0.0,0,,available,backorder,145459,Lelit,lelit,6910.0,Procaffe,6746.0,1882.0,Điện Gia Dụng,2026-08-15,False,0.0,False,19800000,0.0,0.0,False,>1.5tr,0%,Máy pha cà phê,0
175875105,6728029606563,Ấm đun siêu tốc 2 lớp Inox 304 Perfect 2L2 Màu Xanh - Hàng chính hãng,299000,299000,0,0,0.0,0,,available,backorder,51264,Perfect,perfect,69337.0,Home Star Store,64779.0,1882.0,Điện Gia Dụng,2026-08-15,False,0.0,False,299000,0.0,0.0,False,100-300k,0%,Ấm đun nước/Bình siêu tốc,0
176059896,1417599454288,Nồi cơm điện Tiger JNP 1000 - Hàng nhập khẩu,2790000,2790000,0,0,0.0,0,1.0,available,backorder,79440,Tiger,tiger,20256.0,Telovietnam,19746.0,1882.0,Điện Gia Dụng,2026-08-15,True,1.0,False,2790000,0.0,0.0,False,>1.5tr,0%,Nồi cơm điện,0
176061530,3285956543481,Nồi cơm điện Tiger JNP 1800 - Hàng nhập khẩu,2929000,4400000,1471000,33,0.0,0,,available,backorder,79440,Tiger,tiger,218.0,Gia Khang,178.0,1882.0,Điện Gia Dụng,2026-08-15,False,0.0,False,4400000,33.43181818181818,0.4318181818181799,False,>1.5tr,30-50%,Nồi cơm điện,0
176062301,8723331466363,Nồi cơm điện Tiger JNP 1803 - Hàng nhập khẩu ,3890000,3890000,0,0,0.0,0,1.0,available,backorder,79440,Tiger,tiger,20256.0,Telovietnam,19746.0,1882.0,Điện Gia Dụng,2026-08-15,True,1.0,False,3890000,0.0,0.0,False,>1.5tr,0%,Nồi cơm điện,0
176213620,7072744288093,NỒI CHIÊN KHÔNG DẦU KLARSTEIN 9L TURBO (10028290),4290000,4290000,0,0,0.0,0,1.0,available,backorder,183153,Klarstein,klarstein,20256.0,Telovietnam,19746.0,2.0,Root,2026-08-15,True,1.0,False,4290000,0.0,0.0,False,>1.5tr,0%,Nồi chiên không dầu,0
176217339,5211684245334,"Máy Ép Chậm Lorente-Máy Ép Hoa Quả Lorente LT-2088, công suất 300W, ép nguyên chất kiệt nước-Hàng Chính Hãng",1990000,1990000,0,0,0.0,0,2.0,available,backorder,276065,Lorente,lorente,69337.0,Home Star Store,64779.0,1882.0,Điện Gia Dụng,2026-08-15,True,2.0,False,1990000,0.0,0.0,False,>1.5tr,0%,Máy ép,0
176296117,1233949347581,Máy Xay Thực Phẩm Đa Năng &amp; Trong 1 Mishio MK323 - Hàng Chính Hãng,799000,799000,0,0,4.5,2,11.0,available,backorder,51325,Mishio,mishio,160749.0,Mishio Kachi Official,148018.0,1882.0,Điện Gia Dụng,2026-08-15,True,11.0,False,799000,0.0,0.0,False,700k-1.5tr,0%,Máy xay,2
176485589,1871512655154,MÁY TRỘN BỘT KLARSTEIN BELLA ELEGANCE 10034363 - Hàng Chính Hãng ,4690000,4690000,0,0,4.5,2,4.0,available,backorder,183153,Klarstein,klarstein,20256.0,Telovietnam,19746.0,2.0,Root,2026-08-15,True,4.0,False,4690000,0.0,0.0,False,>1.5tr,0%,Khác / Chưa phân loại,2
176485621,8288392021078,NỒI CHIÊN KHÔNG DẦU 12L KLARSTEIN AEROVITAL CUBE 10033745 - Hàng Chính Hãng,5990000,5990000,0,0,0.0,0,,available,backorder,183153,Klarstein,klarstein,20256.0,Telovietnam,19746.0,2.0,Root,2026-08-15,False,0.0,False,5990000,0.0,0.0,False,>1.5tr,0%,Nồi chiên không dầu,0
176522044,8612405685642,"Ấm Đun Nước Siêu Tốc Inox 1.8L  Cao Cấp, Bình Đun Nước Nóng Cách Nhiệt An Toàn, Tiện Dụng - Chính hãng MINIIN ",99000,99000,0,0,4.8,4,21.0,available,backorder,5132069,MINIIN,miniin,134678.0,Smarthome29,124367.0,1882.0,Điện Gia Dụng,2026-08-15,True,21.0,False,99000,0.0,0.0,False,<100k,0%,Ấm đun nước/Bình siêu tốc,4
